,# of Dialysis Stations,Offers in-center hemodialysis,Offers in-center peritoneal dialysis,Offers home hemodialysis training,Percentage of Medicare patients with Hgb<10 g/dL,Percentage of Medicare patients with Hgb>12 g/dL,Number of Dialysis Patients with Hgb data,Percent of Adult HD patients with Kt/V >= 1.2,Percentage of Adult PD PTS with Kt/V >= 1.7,Percentage of Pediatric HD patients with Kt/V >= 1.2,Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL),Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL,Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL,Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL,Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL,Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL,Percentage of pediatric PD patients with Kt/V>=1.8,Fistula Rate (Facility),Percentage of Adult patients with long term catheter in use,Percentage of pediatric HD patients with nPCR,Readmission Rate (Facility),Mortality Rate (Facility),risk_zone
0,16,1,0,0,11.0,0.0,36.0,96.0,90.74918566775244,95.21428571428571,1.0,10.0,22.0,24.0,25.0,19.0,71.35483870967742,77.0,11.0,95.875,27.5,19.7,1
1,19,1,1,1,16.0,2.0,93.0,98.0,92.0,95.21428571428571,2.0,8.0,22.0,27.0,25.0,18.0,71.35483870967742,64.0,13.0,95.875,22.2,20.4,1
2,12,1,1,1,11.0,0.0,18.0,99.0,90.74918566775244,95.21428571428571,3.0,21.0,30.0,19.0,18.0,11.0,71.35483870967742,72.0,12.0,95.875,15.3,22.4,1
3,14,1,0,0,3.0,0.0,34.0,95.0,90.74918566775244,95.21428571428571,5.0,8.0,28.0,30.0,18.0,16.0,71.35483870967742,46.0,10.0,95.875,24.2,27.0,1
4,27,1,1,1,12.0,0.0,33.0,97.0,90.74918566775244,95.21428571428571,0.0,9.0,20.0,25.0,25.0,21.0,71.35483870967742,46.0,7.0,95.875,28.4,17.1,1
5,24,1,0,0,3.0,0.0,61.0,98.0,90.74918566775244,95.21428571428571,3.0,9.0,27.0,36.0,16.0,13.0,71.35483870967742,76.0,10.0,95.875,19.6,19.5,1
6,18,1,1,1,9.0,0.0,92.0,98.0,91.0,95.21428571428571,1.0,11.0,31.0,28.0,17.0,14.0,71.35483870967742,71.0,12.0,95.875,24.7,16.3,1
7,18,1,1,1,9.0,0.0,33.0,98.0,90.74918566775244,95.21428571428571,1.0,9.0,29.0,40.0,16.0,7.0,71.35483870967742,46.0,15.0,95.875,28.9,23.9,1
8,25,1,1,1,28.0,0.0,40.0,91.0,90.74918566775244,95.21428571428571,4.0,6.0,19.0,24.0,30.0,21.0,71.35483870967742,52.0,15.0,95.875,25.2,28.4,1
9,19,1,0,0,17.60762331838565,0.22266298723697828,40.0,95.98320456835741,90.74918566775244,95.21428571428571,2.448151062155783,8.779016805402858,25.765980838699544,31.04083555834773,21.35746819538244,13.055599183288834,71.35483870967742,63.26854891661195,12.24376231122784,95.875,26.72686037126708,21.716423297785052,1
